time,open,high,low,close,tick_volume,spread,real_volume
2023-01-24 07:00:00,1.08756,1.0882,1.08747,1.08776,11724,6,1758600000
2023-01-24 08:00:00,1.08776,1.08912,1.08769,1.0887,15091,5,2263650000
2023-01-24 09:00:00,1.0887,1.08974,1.08826,1.0888,20472,5,3070800000
2023-01-24 10:00:00,1.0888,1.08951,1.08657,1.08744,22129,5,3319350000
2023-01-24 11:00:00,1.08743,1.08822,1.08513,1.08602,25551,5,3832650000
2023-01-24 12:00:00,1.08602,1.08661,1.08514,1.08631,23666,5,3549900000
2023-01-24 13:00:00,1.08631,1.08754,1.08529,1.08659,21495,5,3224250000
2023-01-24 14:00:00,1.08659,1.08758,1.08584,1.08589,21050,5,3157500000
2023-01-24 15:00:00,1.08589,1.08802,1.08534,1.08652,27682,5,4152300000
2023-01-24 16:00:00,1.08652,1.08693,1.08398,1.08415,31072,5,4660800000
2023-01-24 17:00:00,1.08415,1.08798,1.08344,1.08745,33919,5,5087850000
2023-01-24 18:00:00,1.08745,1.08824,1.08664,1.08709,29962,5,4494300000
2023-01-24 19:00:00,1.08709,1.08865,1.08695,1.08826,25442,5,3816300000
2023-01-24 20:00:00,1.08826,1.08885,1.08762,1.08783,21708,5,3256200000
2023-01-24 21:00:00,1.08783,1.08838,1.08734,1.0883099999999999,19829,5,2974350000
2023-01-24 22:00:00,1.0883099999999999,1.0884,1.08781,1.08806,19956,13,2993400000
2023-01-24 23:00:00,1.08806,1.0888,1.08798,1.08833,8772,19,1315800000
2023-01-25 00:00:00,1.08835,1.08873,1.08747,1.08846,1091,22,163650000
2023-01-25 01:00:00,1.08847,1.08896,1.0882,1.0889,7025,19,1053750000
2023-01-25 02:00:00,1.0889,1.08896,1.08802,1.08864,15183,13,2277450000
2023-01-25 03:00:00,1.08864,1.08934,1.08834,1.08922,14539,13,2180850000
2023-01-25 04:00:00,1.08922,1.09007,1.08922,1.08959,11925,13,1788750000
2023-01-25 05:00:00,1.08959,1.08988,1.08918,1.08966,13854,13,2078100000
2023-01-25 06:00:00,1.08966,1.0902,1.08963,1.0898,13358,13,2003700000
2023-01-25 07:00:00,1.0898,1.08987,1.08913,1.08967,14718,6,2207700000
2023-01-25 08:00:00,1.08967,1.09106,1.0895,1.09054,16639,5,2495850000
2023-01-25 09:00:00,1.09054,1.09104,1.08779,1.08804,22281,5,3342150000
2023-01-25 10:00:00,1.08803,1.08907,1.08672,1.08764,25304,5,3795600000
2023-01-25 11:00:00,1.08759,1.08915,1.08692,1.08804,24317,5,3647550000
2023-01-25 12:00:00,1.08804,1.08805,1.08624,1.0865,24263,5,3639450000
2023-01-25 13:00:00,1.0865,1.08689,1.08566,1.0864,23218,5,3482700000
2023-01-25 14:00:00,1.08641,1.08761,1.08579,1.0874,23842,5,3576300000
2023-01-25 15:00:00,1.0873,1.08846,1.08638,1.08712,26217,5,3932550000
2023-01-25 16:00:00,1.08712,1.08997,1.08679,1.08929,30379,5,4556850000
2023-01-25 17:00:00,1.08928,1.0923,1.08901,1.09015,31810,5,4771500000
2023-01-25 18:00:00,1.09015,1.0903,1.08735,1.08995,27578,5,4136700000
2023-01-25 19:00:00,1.08995,1.09029,1.08934,1.08985,19071,5,2860650000
2023-01-25 20:00:00,1.08988,1.09173,1.08988,1.09084,23682,5,3552300000
2023-01-25 21:00:00,1.09084,1.09143,1.0906,1.09139,22353,6,3352950000
2023-01-25 22:00:00,1.09141,1.09169,1.09058,1.09135,21429,13,3214350000
2023-01-25 23:00:00,1.09132,1.0917,1.09105,1.09141,9083,19,1362450000
2023-01-26 00:00:00,1.09141,1.0917,1.09079,1.09119,1423,19,213450000
2023-01-26 01:00:00,1.09122,1.0922,1.09116,1.09199,7323,19,1098450000
2023-01-26 02:00:00,1.09199,1.09239,1.09149,1.09149,12974,13,1946100000
2023-01-26 03:00:00,1.09149,1.09204,1.09063,1.09184,14947,13,2242050000
2023-01-26 04:00:00,1.09184,1.09209,1.09101,1.09146,14449,13,2167350000
2023-01-26 05:00:00,1.09146,1.0917,1.09108,1.09125,12296,13,1844400000
2023-01-26 06:00:00,1.09125,1.09175,1.09122,1.0913599999999999,12065,13,1809750000
2023-01-26 07:00:00,1.0913599999999999,1.09181,1.09084,1.09179,12848,6,1927200000
2023-01-26 08:00:00,1.09178,1.09288,1.09165,1.09196,15293,5,2293950000
2023-01-26 09:00:00,1.09196,1.09219,1.09059,1.09189,23742,5,3561300000
2023-01-26 10:00:00,1.09187,1.09275,1.09051,1.09083,26146,5,3921900000
2023-01-26 11:00:00,1.09084,1.09094,1.08919,1.08949,25172,6,3775800000
2023-01-26 12:00:00,1.08949,1.09074,1.08931,1.09059,21115,6,3167250000
2023-01-26 13:00:00,1.09059,1.09074,1.08985,1.09023,18482,5,2772300000
2023-01-26 14:00:00,1.09022,1.0904,1.08862,1.08921,23043,5,3456450000
2023-01-26 15:00:00,1.08921,1.09077,1.08722,1.09019,29641,5,4446150000
2023-01-26 16:00:00,1.09019,1.09168,1.08808,1.08865,32936,5,4940400000
2023-01-26 17:00:00,1.08866,1.08944,1.08502,1.08545,33535,5,5030250000
2023-01-26 18:00:00,1.08545,1.08711,1.08498,1.0864,31325,5,4698750000
2023-01-26 19:00:00,1.0864,1.08695,1.08574,1.08639,24724,5,3708600000
2023-01-26 20:00:00,1.08639,1.08874,1.08628,1.08855,23785,5,3567750000
2023-01-26 21:00:00,1.08855,1.08897,1.08815,1.08885,19998,5,2999700000
2023-01-26 22:00:00,1.08885,1.08916,1.08855,1.08912,19627,13,2944050000
2023-01-26 23:00:00,1.08912,1.08942,1.08893,1.08911,5980,19,897000000
2023-01-27 00:00:00,1.08913,1.08913,1.08846,1.08897,773,21,115950000
2023-01-27 01:00:00,1.08896,1.08955,1.08888,1.08923,7593,15,1138950000
2023-01-27 02:00:00,1.08923,1.08994,1.08923,1.08959,13410,13,2011500000
2023-01-27 03:00:00,1.08959,1.08985,1.08853,1.08887,14699,13,2204850000
2023-01-27 04:00:00,1.08887,1.08893,1.08778,1.08788,14188,13,2128200000
2023-01-27 05:00:00,1.08788,1.08795,1.08699,1.08729,14389,13,2158350000
2023-01-27 06:00:00,1.08729,1.08729,1.08652,1.08656,14040,13,2106000000
